Symbol,Company Name,Market Cap
ALGN,"Align Technology, Inc.",17.57B
BALL,Ball Corporation,17.38B
MOH,"Molina Healthcare, Inc.",17.33B
DGX,Quest Diagnostics Incorporated,17.30B
NI,NiSource Inc.,17.06B
MAS,Masco Corporation,16.99B
J,Jacobs Solutions Inc.,16.98B
DG,Dollar General Corporation,16.92B
IEX,IDEX Corporation,16.89B
GPC,Genuine Parts Company,16.85B
NWS,News Corporation,16.79B
HOLX,"Hologic, Inc.",16.71B
KIM,Kimco Realty Corporation,16.62B
EXPD,"Expeditors International of Washington, Inc.",16.59B
UDR,"UDR, Inc.",16.58B
NWSA,News Corporation,16.26B
MRNA,"Moderna, Inc.",16.10B
AVY,Avery Dennison Corporation,15.68B
DPZ,"Domino's Pizza, Inc.",15.65B
EG,"Everest Group, Ltd.",15.59B
CF,"CF Industries Holdings, Inc.",15.57B
LNT,Alliant Energy Corporation,15.51B
BAX,Baxter International Inc.,15.48B
FFIV,"F5, Inc.",15.35B
JBL,Jabil Inc.,15.25B
VTRS,Viatris Inc.,15.08B
DLTR,"Dollar Tree, Inc.",15.07B
TXT,Textron Inc.,15.01B
AKAM,"Akamai Technologies, Inc.",14.91B
DOC,"Healthpeak Properties, Inc.",14.81B
TPR,"Tapestry, Inc.",14.73B
SWKS,"Skyworks Solutions, Inc.",14.55B
AMCR,Amcor plc,14.26B
EVRG,"Evergy, Inc.",14.24B
RL,Ralph Lauren Corporation,14.12B
RVTY,"Revvity, Inc.",14.11B
BXP,"BXP, Inc.",14.10B
EPAM,"EPAM Systems, Inc.",13.88B
POOL,Pool Corporation,13.81B
REG,Regency Centers Corporation,13.73B
APTV,Aptiv PLC,13.63B
CAG,"Conagra Brands, Inc.",13.46B
KMX,"CarMax, Inc.",13.36B
INCY,Incyte Corporation,13.21B
CHRW,"C.H. Robinson Worldwide, Inc.",13.17B
JKHY,"Jack Henry & Associates, Inc.",13.12B
PAYC,"Paycom Software, Inc.",13.11B
CPT,Camden Property Trust,13.01B
HST,"Host Hotels & Resorts, Inc.",12.99B
NDSN,Nordson Corporation,12.95B
