Symbol,Company Name,Market Cap
DAL,"Delta Air Lines, Inc.",39.48B
CTSH,Cognizant Technology Solutions Corporation,39.46B
A,"Agilent Technologies, Inc.",39.36B
XEL,Xcel Energy Inc.,39.23B
OTIS,Otis Worldwide Corporation,39.19B
IT,"Gartner, Inc.",39.14B
SYY,Sysco Corporation,39.12B
LVS,Las Vegas Sands Corp.,38.81B
KHC,The Kraft Heinz Company,38.58B
YUM,"Yum! Brands, Inc.",38.26B
EXC,Exelon Corporation,37.14B
GIS,"General Mills, Inc.",37.08B
HSY,The Hershey Company,37.05B
GEHC,GE HealthCare Technologies Inc.,36.96B
VMC,Vulcan Materials Company,36.40B
IQV,IQVIA Holdings Inc.,36.20B
IDXX,"IDEXX Laboratories, Inc.",35.41B
ACGL,Arch Capital Group Ltd.,35.21B
RMD,ResMed Inc.,35.09B
WAB,Westinghouse Air Brake Technologies Corporation,35.09B
EXR,Extra Space Storage Inc.,34.89B
ROK,"Rockwell Automation, Inc.",34.09B
DD,"DuPont de Nemours, Inc.",33.81B
MLM,"Martin Marietta Materials, Inc.",33.56B
CCL,Carnival Corporation & plc,33.53B
HPQ,HP Inc.,33.20B
VICI,VICI Properties Inc.,32.95B
IRM,Iron Mountain Incorporated,32.89B
MTB,M&T Bank Corporation,32.79B
RJF,"Raymond James Financial, Inc.",32.72B
HUM,Humana Inc.,32.63B
TTWO,"Take-Two Interactive Software, Inc.",32.58B
EFX,Equifax Inc.,32.55B
HIG,"The Hartford Financial Services Group, Inc.",32.51B
MCHP,Microchip Technology Incorporated,32.31B
AVB,"AvalonBay Communities, Inc.",32.21B
ED,"Consolidated Edison, Inc.",32.20B
EIX,Edison International,31.83B
ETR,Entergy Corporation,31.74B
UAL,"United Airlines Holdings, Inc.",31.36B
WTW,Willis Towers Watson Public Limited Company,31.29B
LYV,"Live Nation Entertainment, Inc.",31.14B
DECK,Deckers Outdoor Corporation,31.05B
CSGP,"CoStar Group, Inc.",30.96B
TSCO,Tractor Supply Company,30.54B
WEC,"WEC Energy Group, Inc.",30.51B
EBAY,eBay Inc.,30.46B
CNC,Centene Corporation,30.40B
DXCM,"DexCom, Inc.",30.38B
FITB,Fifth Third Bancorp,30.34B
WBD,"Warner Bros. Discovery, Inc.",30.25B
BRO,"Brown & Brown, Inc.",29.72B
NUE,Nucor Corporation,29.62B
MPWR,"Monolithic Power Systems, Inc.",29.56B
ANSS,"ANSYS, Inc.",29.56B
STT,State Street Corporation,29.43B
XYL,Xylem Inc.,29.39B
GPN,Global Payments Inc.,29.18B
GDDY,GoDaddy Inc.,29.04B
EQR,Equity Residential,28.68B
EL,The Estée Lauder Companies Inc.,28.64B
KEYS,"Keysight Technologies, Inc.",28.63B
DOW,Dow Inc.,28.63B
CAH,"Cardinal Health, Inc.",28.58B
PPG,"PPG Industries, Inc.",28.57B
HPE,Hewlett Packard Enterprise Company,28.25B
ON,ON Semiconductor Corporation,27.93B
K,Kellanova,27.84B
SW,Smurfit Westrock Plc,27.71B
DOV,Dover Corporation,27.58B
TPL,Texas Pacific Land Corporation,27.41B
BR,"Broadridge Financial Solutions, Inc.",27.34B
EQT,EQT Corporation,27.26B
MTD,Mettler-Toledo International Inc.,26.67B
FTV,Fortive Corporation,26.51B
SYF,Synchrony Financial,26.49B
NVR,"NVR, Inc.",26.42B
TROW,"T. Rowe Price Group, Inc.",26.40B
TYL,"Tyler Technologies, Inc.",26.31B
CHD,"Church & Dwight Co., Inc.",25.85B
VLTO,Veralto Corporation,25.82B
HAL,Halliburton Company,25.38B
VTR,"Ventas, Inc.",25.35B
AWK,"American Water Works Company, Inc.",25.32B
DTE,DTE Energy Company,25.18B
ADM,Archer-Daniels-Midland Company,25.14B
CPAY,"Corpay, Inc.",25.08B
HBAN,Huntington Bancshares Incorporated,24.81B
NTAP,"NetApp, Inc.",24.77B
LYB,LyondellBasell Industries N.V.,24.60B
HUBB,Hubbell Incorporated,24.41B
PHM,"PulteGroup, Inc.",24.10B
AEE,Ameren Corporation,24.09B
PPL,PPL Corporation,23.97B
CINF,Cincinnati Financial Corporation,23.85B
PTC,PTC Inc.,23.84B
WST,"West Pharmaceutical Services, Inc.",23.69B
ROL,"Rollins, Inc.",23.61B
CDW,CDW Corporation,23.49B
EXPE,"Expedia Group, Inc.",23.47B
FE,FirstEnergy Corp.,23.29B
WRB,W. R. Berkley Corporation,23.20B
SBAC,SBA Communications Corporation,23.03B
RF,Regions Financial Corporation,22.61B
WDC,Western Digital Corporation,22.53B
DVN,Devon Energy Corporation,22.41B
ERIE,Erie Indemnity Company,22.27B
IFF,International Flavors & Fragrances Inc.,22.22B
WAT,Waters Corporation,22.22B
TDY,Teledyne Technologies Incorporated,22.17B
BIIB,Biogen Inc.,22.09B
ES,Eversource Energy,21.98B
ATO,Atmos Energy Corporation,21.85B
WY,Weyerhaeuser Company,21.74B
MKC,"McCormick & Company, Incorporated",21.68B
TSN,"Tyson Foods, Inc.",21.61B
FOXA,Fox Corporation,21.50B
BF.B,Brown-Forman Corporation,21.37B
FSLR,"First Solar, Inc.",21.28B
SMCI,"Super Micro Computer, Inc.",21.25B
ZBH,"Zimmer Biomet Holdings, Inc.",21.21B
STE,STERIS plc,21.21B
PKG,Packaging Corporation of America,21.20B
FOX,Fox Corporation,21.06B
CNP,"CenterPoint Energy, Inc.",20.93B
CBOE,"Cboe Global Markets, Inc.",20.84B
ZBRA,Zebra Technologies Corporation,20.80B
NTRS,Northern Trust Corporation,20.80B
STX,Seagate Technology Holdings plc,20.73B
LDOS,"Leidos Holdings, Inc.",20.44B
CLX,The Clorox Company,20.43B
INVH,Invitation Homes Inc.,20.36B
CMS,CMS Energy Corporation,20.26B
TER,"Teradyne, Inc.",20.14B
CFG,"Citizens Financial Group, Inc.",20.11B
ESS,"Essex Property Trust, Inc.",19.96B
LUV,Southwest Airlines Co.,19.86B
ULTA,"Ulta Beauty, Inc.",19.59B
DRI,"Darden Restaurants, Inc.",19.42B
NRG,"NRG Energy, Inc.",19.39B
LH,Labcorp Holdings Inc.,19.37B
IP,International Paper Company,19.24B
